AF,0.105,0.146,0.021,0.015,0.138,0.162,0.002,0.022,0.068,0.151,0.059,0.056,0.046,0.028,0.051,0.066,0.009,0.049,0.024,0.097,0.021,0.028,0.057,0.057,0
EF,0.066,0.03,0.111,0.107,0.238,0.318,0.017,0.017,0.13,0.146,0.017,0.05,0.011,0.047,0.035,0.056,0.063,0.002,0.095,0.099,0.025,0.059,0.01,0.058,2
EF,0.004,0.038,0.01,0.065,0.364,0.251,0.004,0.054,0.229,0.187,0.003,0.062,0.009,0.033,0.118,0.152,0.161,0.156,0.225,0.205,0.061,0.034,0.042,0.015,2
EF,0.034,0.037,0.017,0.038,0.209,0.302,0.164,0.106,0.242,0.228,0.057,0.033,0.029,0.058,0.029,0.021,0.034,0.112,0.069,0.102,0.008,0.021,0.028,0.061,3
EF,0.124,0.1,0.021,0.014,0.148,0.142,0.03,0.032,0.212,0.119,0.059,0.061,0.054,0.052,0.037,0.01,0.016,0.05,0.094,0.053,0.009,0.008,0.024,0.044,2
EF,0.048,0.022,0.061,0.014,0.252,0.261,0.007,0.008,0.246,0.218,0.161,0.124,0.164,0.109,0.079,0.016,0.027,0.07,0.088,0.077,0.022,0.027,0.027,0.057,2
BE,0.0,0.046,0.03,0.039,0.196,0.254,0.062,0.006,0.233,0.271,0.039,0.032,0.046,0.018,0.194,0.016,0.063,0.184,0.208,0.137,0.125,0.124,0.133,0.133,4
AF,0.06,0.043,0.033,0.016,0.249,0.277,0.056,0.053,0.265,0.214,0.018,0.042,0.06,0.025,0.175,0.142,0.138,0.188,0.199,0.177,0.022,0.001,0.047,0.032,0
EF,0.104,0.147,0.052,0.066,0.194,0.219,0.037,0.02,0.132,0.184,0.022,0.034,0.016,0.015,0.077,0.013,0.041,0.031,0.063,0.079,0.023,0.039,0.055,0.018,2
AF,0.037,0.055,0.058,0.039,0.262,0.31,0.139,0.166,0.245,0.23,0.054,0.066,0.065,0.06,0.067,0.048,0.025,0.081,0.029,0.073,0.036,0.021,0.064,0.006,0
